"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement.css", "CSS", 0, 119, 0, 8, 21, 148
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement.js", "JavaScript", 97, 0, 0, 5, 30, 132
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview.css", "CSS", 0, 156, 0, 3, 22, 181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview.js", "JavaScript", 83, 0, 0, 0, 20, 103
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile.css", "CSS", 0, 106, 0, 28, 17, 151
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile.js", "JavaScript", 59, 0, 0, 0, 5, 64
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report.css", "CSS", 0, 63, 0, 2, 7, 72
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report.js", "JavaScript", 81, 0, 0, 0, 16, 97
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting.js", "JavaScript", 53, 0, 0, 0, 6, 59
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Rolesetting.css", "CSS", 0, 64, 0, 0, 4, 68
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\SchlorshipList.css", "CSS", 0, 120, 0, 1, 13, 134
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipCheck.css", "CSS", 0, 9, 0, 0, 0, 9
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipCheck.js", "JavaScript", 80, 0, 0, 0, 20, 100
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipList.js", "JavaScript", 82, 0, 0, 0, 17, 99
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipStatus.css", "CSS", 0, 79, 0, 0, 4, 83
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipStatus.js", "JavaScript", 69, 0, 0, 0, 12, 81
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Announcement.css", "CSS", 0, -119, 0, -8, -21, -148
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Announcement.js", "JavaScript", -97, 0, 0, -5, -30, -132
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Interview.css", "CSS", 0, -156, 0, -3, -24, -183
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Interview.js", "JavaScript", -83, 0, 0, 0, -20, -103
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Report.css", "CSS", 0, -28, 0, 0, -3, -31
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Report.js", "JavaScript", -105, 0, 0, 0, -11, -116
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\RoleSetting.js", "JavaScript", -51, 0, 0, 0, -6, -57
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\Rolesetting.css", "CSS", 0, -28, 0, 0, 0, -28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\admin\SchlorshipCheck.css", "CSS", 0, -59, 0, 0, -2, -61
