"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\App.css", "CSS", 33, 0, 0, 6, 39
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\App.js", "JavaScript", 0, 16, 0, 5, 21
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\components\Login.css", "CSS", 23, 0, 28, 5, 56
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\components\Login.js", "JavaScript", 0, 85, 2, 15, 102
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement.css", "CSS", 162, 0, 92, 9, 263
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement.js", "JavaScript", 0, 136, 4, 16, 156
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin.css", "CSS", 74, 0, 10, 5, 89
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin.js", "JavaScript", 0, 58, 0, 13, 71
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview.css", "CSS", 157, 0, 7, 19, 183
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview.js", "JavaScript", 0, 83, 0, 18, 101
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile.css", "CSS", 105, 0, 35, 16, 156
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile.js", "JavaScript", 0, 64, 0, 10, 74
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report.css", "CSS", 113, 0, 7, 4, 124
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report.js", "JavaScript", 0, 86, 0, 16, 102
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting.js", "JavaScript", 0, 72, 0, 15, 87
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Rolesetting.css", "CSS", 103, 0, 7, 5, 115
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\SchlorshipList.css", "CSS", 112, 0, 7, 11, 130
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\ScholarshipCheck.css", "CSS", 155, 0, 9, 24, 188
