"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.scss", "SCSS", 0, 310, 13, 40, 363
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\components\LoginGoogle.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceCreate.js", "JavaScript", 4, 0, 0, -1, 3
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceList.js", "JavaScript", 4, 0, 0, 0, 4
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", 21, 0, 26, 5, 52
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheck.js", "JavaScript", 356, 0, 6, 38, 400
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheckForm.js", "JavaScript", -291, 0, -2, -42, -335
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantData.js", "JavaScript", 216, 0, 3, 22, 241
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", 72, 0, 0, 10, 82
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantProfile.js", "JavaScript", 171, 0, 8, 15, 194
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ScholarshipApplicant.js", "JavaScript", -84, 0, -2, -16, -102
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", 24, 0, 0, 2, 26
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewApprovement.js", "JavaScript", 362, 0, 11, 45, 418
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewData.js", "JavaScript", 259, 0, 45, 32, 336
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewProfile.js", "JavaScript", 168, 0, 11, 15, 194
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewRate.js", "JavaScript", 233, 0, 7, 23, 263
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewSchedule.js", "JavaScript", -59, 0, -1, -14, -74
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleCreate.js", "JavaScript", -8, 0, 0, -5, -13
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleEdit.js", "JavaScript", -8, 0, 0, -5, -13
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\IntervieweeList.js", "JavaScript", 106, 0, -4, 8, 110
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewerChoose.js", "JavaScript", 242, 0, 14, 28, 284
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\Member.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\MemberList.js", "JavaScript", 5, 0, 0, 0, 5
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\FormProfile.js", "JavaScript", 12, 0, 3, 0, 15
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\Profile.js", "JavaScript", -32, 0, 15, -5, -22
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCheck.js", "JavaScript", -68, 0, -3, -7, -78
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCreate.js", "JavaScript", -3, 0, -9, 0, -12
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileEdit.js", "JavaScript", 4, 0, 0, -1, 3
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\Report.js", "JavaScript", 102, 0, 1, 10, 113
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportInspect.js", "JavaScript", 97, 0, 22, 15, 134
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportList.js", "JavaScript", 75, 0, 3, 7, 85
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleList.js", "JavaScript", 11, 0, 0, -1, 10
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleSetting.js", "JavaScript", 30, 0, 0, 3, 33
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateAttrform.js", "JavaScript", -1, 0, 0, 1, 0
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateDetail.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateFileform.js", "JavaScript", 10, 0, 0, 0, 10
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateRateform.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditAttrform.js", "JavaScript", -1, 0, 0, 1, 0
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditDetail.js", "JavaScript", 25, 0, 0, 1, 26
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditFileform.js", "JavaScript", 13, 0, 2, 6, 21
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditRateform.js", "JavaScript", 12, 0, 0, 1, 13
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditScholarshipRegister.js", "JavaScript", 358, 0, 22, 33, 413
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCheck.js", "JavaScript", -306, 0, -3, -31, -340
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCreate.js", "JavaScript", 3, 0, 0, 0, 3
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipEdit.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipList.js", "JavaScript", 34, 0, 1, -4, 31
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipRegister.js", "JavaScript", -6, 0, -1, -2, -9
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Status\Status.js", "JavaScript", 31, 0, 0, 4, 35
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Status\StatusList.js", "JavaScript", 171, 0, 24, 18, 213
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\context\WebContext.js", "JavaScript", 12, 0, 3, 4, 19
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\MainController.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\ScholarshipController.js", "JavaScript", 37, 0, 0, 0, 37
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", 10, 0, 0, 1, 11
"Total", "-", 2489, 310, 215, 261, 3275
