"filename", "language", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.js", "JavaScript", 21, 0, 0, 0, 5, 26
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.scss", "SCSS", 0, 0, 2486, 63, 419, 2968
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\components\LoginGoogle.js", "JavaScript", 155, 0, 0, 3, 15, 173
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\AnnouncementLogin.js", "JavaScript", 25, 0, 0, 0, 3, 28
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\NewsListlogin.js", "JavaScript", 60, 0, 0, 1, 12, 73
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceCreate.js", "JavaScript", 218, 0, 0, 1, 15, 234
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceEdit.js", "JavaScript", 213, 0, 0, 17, 14, 244
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceList.js", "JavaScript", 88, 0, 0, 2, 10, 100
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\Announcement.js", "JavaScript", 37, 0, 0, 1, 5, 43
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", 76, 0, 0, 26, 12, 114
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheck.js", "JavaScript", 356, 0, 0, 6, 38, 400
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantData.js", "JavaScript", 216, 0, 0, 3, 22, 241
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", 171, 0, 0, 5, 23, 199
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantProfile.js", "JavaScript", 171, 0, 0, 8, 15, 194
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", 75, 0, 0, 0, 7, 82
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewApprovement.js", "JavaScript", 362, 0, 0, 11, 45, 418
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewData.js", "JavaScript", 259, 0, 0, 45, 32, 336
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewProfile.js", "JavaScript", 168, 0, 0, 11, 15, 194
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewRate.js", "JavaScript", 343, 0, 0, 17, 40, 400
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\IntervieweeList.js", "JavaScript", 147, 0, 0, 4, 16, 167
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewerChoose.js", "JavaScript", 242, 0, 0, 14, 28, 284
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\Member.js", "JavaScript", 65, 0, 0, 1, 11, 77
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\MemberList.js", "JavaScript", 42, 0, 0, 1, 13, 56
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\FormProfile.js", "JavaScript", 156, 0, 0, 114, 17, 287
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\Profile.js", "JavaScript", 181, 0, 0, 21, 18, 220
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCreate.js", "JavaScript", 300, 0, 0, 3, 28, 331
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileEdit.js", "JavaScript", 332, 0, 0, 11, 30, 373
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\Report.js", "JavaScript", 163, 0, 0, 2, 18, 183
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportInspect.js", "JavaScript", 169, 0, 0, 23, 24, 216
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportList.js", "JavaScript", 184, 0, 0, 4, 16, 204
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleList.js", "JavaScript", 94, 0, 0, 1, 17, 112
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleSetting.js", "JavaScript", 69, 0, 0, 1, 13, 83
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateAttrform.js", "JavaScript", 85, 0, 0, 0, 8, 93
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateDetail.js", "JavaScript", 300, 0, 0, 15, 22, 337
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateFileform.js", "JavaScript", 204, 0, 0, 5, 11, 220
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateRateform.js", "JavaScript", 171, 0, 0, 1, 15, 187
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditAttrform.js", "JavaScript", 89, 0, 0, 0, 9, 98
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditDetail.js", "JavaScript", 314, 0, 0, 6, 29, 349
